filename,page_count,char_count,extraction_method
AUG132019_01B2203,6,18991,text
AUG132024_01B2203,3,10238,text
AUG142019_01B2203,6,19827,text
AUG142023_01B2203,4,10669,text
AUG142024_01B2203,9,27773,text
AUG142024_02B2203,9,32104,text
AUG142024_03B2203,7,22816,text
AUG142024_04B2203,6,18145,text
AUG152005_03B2203,8,22527,text
AUG152018_01B2203,6,14692,text
AUG152024_01B2203,6,17372,text
AUG152024_02B2203,4,12239,text
AUG162022_01B2203,4,10835,text
AUG162023_01B2203,6,18497,text
AUG162023_02B2203,6,18372,text
AUG162024_01B2203,4,9826,text
AUG162024_02B2203,8,26139,text
AUG162024_03B2203,3,8216,text
AUG162024_04B2203,4,10390,text
AUG172005_01B2203,5,13141,text
AUG172005_03B2203,5,13171,text
AUG172017_01B2203,7,18897,text
AUG172021_01B2203,2,3234,text
AUG172023_01B2203,5,17249,text
AUG182005_01B2203,7,21641,text
AUG182005_03B2203,7,21641,text
AUG182017_01B2203,5,12459,text
AUG182023_01B2203,6,17387,text
AUG192005_01B2203,8,24248,text
AUG192005_02B2203,12,35482,text
AUG192005_03B2203,13,48434,text
AUG192005_04B2203,3,5074,text
AUG192005_09B2203,8,24381,text
AUG192005_10B2203,12,35482,text
AUG192005_11B2203,13,49101,text
AUG192005_12B2203,3,5074,text
AUG192019_01B2203,7,19443,text
AUG192019_02B2203,6,16261,text
AUG192020_01B2203,6,17039,text
AUG192020_02B2203,7,24220,text
AUG192021_01B2203,9,29680,text
AUG192022_01B2203,2,3558,text
AUG192022_02B2203,5,16091,text
AUG202021_01B2203,4,12334,text
AUG202023_01B2203,3,8859,text
AUG202024_01B2203,7,21845,text
AUG202024_02B2203,4,11336,text
AUG202024_03B2203,6,18796,text
AUG212006_01B2203,10,27414,text
AUG212006_02B2203,10,27414,text
AUG212013_01B2203,3,7602,text
AUG212017_01B2203,5,11158,text
AUG212020_01B2203,5,14154,text
AUG212024_01B2203,2,6725,text
AUG212024_02B2203,9,28110,text
AUG222016_01B2203,5,14947,text
AUG222016_02B2203,6,15896,text
AUG222017_01B2203,7,21044,text
AUG222018_01B2203,5,13480,text
AUG222018_02B2203,5,13167,text
AUG222022_01B2203,9,27407,text
AUG222023_01B2203,7,24163,text
AUG222024_01B2203,3,8123,text
AUG222024_02B2203,7,23776,text
AUG232013_01B2203,7,17739,text
AUG232016_01B2203,9,24110,text
AUG232016_02B2203,9,27114,text
AUG232016_03B2203,9,25920,text
AUG232022_01B2203,5,16350,text
AUG232024_01B2203,7,23467,text
AUG232024_02B2203,4,10091,text
AUG242015_01B2203,8,22480,text
AUG242016_01B2203,8,22978,text
AUG242018_01B2203,8,23936,text
AUG242021_01B2203,6,16968,text
AUG242022_01B2203,4,11226,text
AUG242022_02B2203,9,28835,text
AUG242023_01B2203,8,25170,text
AUG252014_01B2203,11,33306,text
AUG252016_01B2203,6,15984,text
AUG252017_01B2203,8,22771,text
AUG252020_01B2203,5,14169,text
AUG252020_02B2203,7,20553,text
AUG252020_03B2203,8,25088,text
AUG252020_04B2203,8,27311,text
AUG252020_05B2203,8,25487,text
AUG252020_06B2203,5,14364,text
AUG252020_07B2203,7,22898,text
AUG252020_08B2203,6,16958,text
AUG252022_01B2203,8,24013,text
AUG262005_01B2203,11,31542,text
AUG262005_02B2203,2,2147,text
AUG262005_05B2203,11,31551,text
AUG262005_06B2203,2,2147,text
AUG262014_01B2203,9,25445,text
AUG262014_02B2203,14,41095,text
AUG262014_03B2203,11,28705,text
AUG262016_01B2203,9,25386,text
AUG262016_02B2203,9,26924,text
AUG262016_03B2203,6,17036,text
AUG262020_01B2203,4,9423,text
AUG262020_02B2203,8,23377,text
AUG262021_01B2203,5,13537,text
AUG262022_01B2203,8,22180,text
AUG262024_01B2203,5,14622,text
AUG262024_02B2203,5,14604,text
AUG272014_01B2203,13,38843,text
AUG272015_01B2203,5,11639,text
AUG272019_01B2203,7,19490,text
AUG272019_02B2203,11,34472,text
AUG272020_01B2203,3,6864,text
AUG272020_02B2203,3,7133,text
AUG272021_01B2203,4,12488,text
AUG272024_01B2203,3,9887,text
AUG272024_02B2203,7,21768,text
AUG272024_03B2203,4,9349,text
AUG272024_04B2203,2,3294,text
AUG272024_05B2203,4,11662,text
AUG282015_01B2203,9,25979,text
AUG282020_01B2203,4,10443,text
AUG282023_01B2203,3,8175,text
AUG282024_01B2203,3,7817,text
AUG282024_02B2203,4,11775,text
AUG282024_03B2203,7,22465,text
AUG292014_01B2203,12,34398,text
AUG292016_01B2203,9,27187,text
AUG292016_02B2203,5,14412,text
AUG292023_01B2203,5,12759,text
AUG292024_01B2203,7,21831,text
AUG292024_02B2203,7,20068,text
AUG292024_03B2203,3,9612,text
AUG302005_01B2203,9,31043,text
AUG302005_03B2203,9,31043,text
AUG302021_01B2203,7,23622,text
AUG302021_02B2203,8,26775,text
AUG302022_01B2203,6,17209,text
AUG302022_02B2203,3,8718,text
AUG302024_01B2203,6,17252,text
AUG312005_01B2203,7,20161,text
AUG312005_02B2203,9,31552,text
AUG312005_03B2203,11,34609,text
AUG312005_04B2203,10,29455,text
AUG312005_09B2203,7,20103,text
AUG312005_10B2203,9,31467,text
AUG312005_11B2203,11,34759,text
AUG312005_12B2203,10,29455,text
AUG312016_01B2203,12,36788,text
AUG312020_01B2203,9,30241,text
AUG312021_01B2203,6,21385,text
AUG312022_01B2203,7,19167,text
AUG312023_01B2203,8,25443,text
Apr012010_01B2203,10,26994,text
Apr012011_01B2203,3,5662,text
Apr012011_02B2203,7,15173,text
Apr022007_01B2203,2,3679,text
Apr022009_01B2203,12,35111,text
Apr022009_02B2203,11,33190,text
Apr022009_03B2203,13,37349,text
Apr022012_01B2203,17,46258,text
Apr022012_04B2203,2,3787,text
Apr032008_01B2203,6,14338,text
Apr032008_02B2203,5,12670,text
Apr032009_01B2203,2,3161,text
Apr032009_02B2203,7,16715,text
Apr032009_03B2203,1,1119,text
Apr042011_01B2203,18,51038,text
Apr042011_02B2203,21,61346,text
Apr042012_01B2203,10,30027,text
Apr042012_02B2203,19,55473,text
Apr052010_01B2203,4,7883,text
Apr052012_01B2203,10,26767,text
Apr052012_04B2203,13,37585,text
Apr062009_01B2203,11,31866,text
Apr062009_02B2203,9,30373,text
Apr062009_03B2203,3,6665,text
Apr062011_01B2203,12,33389,text
Apr062012_01B2203,6,15508,text
Apr072010_01B2203,14,39314,text
Apr072010_02B2203,12,36225,text
Apr072010_03B2203,17,51610,text
Apr082009_01B2203,3,6994,text
Apr082009_02B2203,8,25763,text
Apr082010_01B2203,18,53098,text
Apr082010_02B2203,12,34743,text
Apr082010_03B2203,3,4381,text
Apr082010_04B2203,8,22049,text
Apr092008_01B2203,8,23318,text
Apr092010_01B2203,23,69212,text
Apr102006_01B2203,3,4279,text
Apr102006_02B2203,7,18311,text
Apr102008_01B2203,7,18179,text
Apr102009_01B2203,9,31498,text
Apr102009_02B2203,9,30034,text
Apr102012_01B2203,3,6302,text
Apr112006_01B2203,10,29141,text
Apr112012_01B2203,2,3187,text
Apr122011_01B2203,4,9717,text
Apr122012_01B2203,2,4031,text
Apr122012_02B2203,6,12084,text
Apr132009_01B2203,4,11868,text
Apr132009_02B2203,3,8800,text
Apr132009_03B2203,8,28441,text
Apr132009_04B2203,10,26317,text
Apr132010_01B2203,12,33430,text
Apr132011_01B2203,23,58132,text
Apr132012_01B2203,3,6657,text
Apr142006_01B2203,4,7998,text
Apr142006_02B2203,10,26031,text
Apr142006_03B2203,7,17816,text
Apr142006_04B2203,7,16442,text
Apr142006_05B2203,6,15898,text
Apr142010_01B2203,17,46850,text
Apr142011_01B2203,23,60719,text
Apr142011_02B2203,19,57584,text
Apr152009_01B2203,2,3239,text
Apr152010_01B2203,12,31696,text
Apr162009_01B2203,6,19638,text
Apr162009_02B2203,15,46911,text
Apr162009_03B2203,8,27660,text
Apr172007_01B2203,8,21606,text
Apr172007_02B2203,17,49697,text
Apr172008_01B2203,13,36609,text
Apr172008_02B2203,13,36485,text
Apr182012_01B2203,17,49652,text
Apr192007_01B2203,10,28519,text
Apr192010_01B2203,9,25292,text
Apr192011_01B2203,11,31140,text
Apr192011_02B2203,3,5446,text
Apr192011_03B2203,17,47271,text
Apr192011_04B2203,10,25715,text
Apr192012_01B2203,3,4373,text
Apr192012_02B2203,3,5113,text
Apr192012_03B2203,9,23866,text
Apr192012_04B2203,3,6416,text
Apr192012_05B2203,2,3091,text
Apr192012_06B2203,3,6615,text
Apr192012_07B2203,2,4706,text
Apr192012_08B2203,16,44506,text
Apr192012_09B2203,14,46559,text
Apr192012_10B2203,2,3879,text
Apr192012_11B2203,3,6610,text
Apr202007_01B2203,1,1146,text
Apr202007_02B2203,6,15097,text
Apr202007_03B2203,6,15361,text
Apr202009_01B2203,1,1029,text
Apr202009_02B2203,3,4937,text
Apr202012_01B2203,15,45027,text
Apr202012_02B2203,4,6764,text
Apr202012_03B2203,3,5701,text
Apr202012_04B2203,3,4889,text
Apr202012_06B2203,3,7115,text
Apr202012_07B2203,2,4253,text
Apr202012_08B2203,2,3236,text
Apr212008_01B2203,1,1072,text
Apr222008_01B2203,2,2463,text
Apr222008_03B2203,7,20639,text
Apr222008_04B2203,12,33737,text
Apr222008_05B2203,8,23494,text
Apr222010_01B2203,14,38767,text
Apr232009_01B2203,7,17396,text
Apr232009_02B2203,12,30868,text
Apr232009_03B2203,7,23708,text
Apr232009_04B2203,10,27985,text
Apr232009_05B2203,11,32533,text
Apr232009_06B2203,13,45438,text
Apr232009_07B2203,8,27523,text
Apr232012_01B2203,14,43530,text
Apr232012_03B2203,16,51150,text
Apr232012_04B2203,8,22629,text
Apr232012_05B2203,13,36135,text
Apr232012_08B2203,20,60721,text
Apr232012_09B2203,20,59860,text
Apr242009_01B2203,9,26279,text
Apr242012_01B2203,3,5091,text
Apr242012_02B2203,13,39111,text
Apr252012_01B2203,13,37424,text
Apr262007_01B2203,9,24489,text
Apr262007_02B2203,6,13667,text
Apr262011_01B2203,9,24610,text
Apr272007_01B2203,3,4736,text
Apr272012_01B2203,8,23147,text
Apr282010_01B2203,20,53486,text
Apr282010_02B2203,14,36752,text
Apr292009_01B2203,3,5757,text
Apr292009_02B2203,2,3252,text
Apr292009_03B2203,8,21489,text
Apr292009_04B2203,2,1781,text
Apr292009_05B2203,10,26223,text
Apr292009_06B2203,13,35615,text
Apr292009_07B2203,7,18806,text
Apr292009_08B2203,12,30685,text
Apr292009_09B2203,7,19454,text
Apr292009_10B2203,2,2861,text
Apr292010_01B2203,14,39339,text
Apr292010_02B2203,13,37212,text
Apr292010_03B2203,5,9992,text
Apr292010_04B2203,2,3259,text
Apr302007_01B2203,11,31955,text
Apr302008_01B2203,12,37893,text
Apr302008_02B2203,13,41775,text
Apr302008_03B2203,8,20979,text
Apr302008_04B2203,9,23226,text
Apr302009_01B2203,9,31223,text
Apr302009_02B2203,7,21553,text
Apr302009_03B2203,6,14408,text
Aug012006_01B2203,7,18059,text
Aug022006_01B2203,7,18784,text
Aug022006_02B2203,9,25167,text
Aug022010_01B2203,2,4957,text
Aug032006_01B2203,5,12843,text
Aug032006_02B2203,7,18218,text
Aug032006_03B2203,12,35769,text
Aug032006_05B2203,7,18387,text
Aug032007_01B2203,1,1182,text
Aug032007_02B2203,7,18203,text
Aug032007_04B2203,9,25535,text
Aug032007_05B2203,15,49362,text
Aug032010_01B2203,2,2944,text
Aug032010_02B2203,3,6897,text
Aug042008_01B2203,2,3376,text
Aug042008_02B2203,6,18044,text
Aug042009_01B2203,12,36439,text
Aug042009_02B2203,14,42989,text
